id,en,es,ja,zh,hi,fr,ar
cmd.error.unit_not_found,Unit not found at index {idx},Unidad no encontrada en el índice {idx},インデックス{idx}にユニットが見つかりません,在索引 {idx} 处未找到单元,इंडेक्स {idx} पर यूनिट नहीं मिली,Unité introuvable à l'index {idx},لم يتم العثور على الوحدة في الفهرس {idx}
cmd.error.unit_cannot_act,Unit cannot act this turn,La unidad no puede actuar este turno.,このユニットはこのターン行動できません,本回合单位无法行动,इस बारी में यूनिट कोई कार्रवाई नहीं कर सकती।,L'unité ne peut pas agir ce tour-ci.,لا يمكن للوحدة التصرف في هذا الدور
cmd.error.no_ap,Unit has no actions available,La unidad no tiene acciones disponibles.,ユニットには利用可能なアクションがありません,单位没有可用行动。,इस यूनिट में कोई कार्रवाई उपलब्ध नहीं है,L'unité ne dispose d'aucune action disponible.,لا توجد إجراءات متاحة للوحدة
unit.details.name,Name: {name},Nombre: {nombre},名前: {name},姓名：{name},नाम नाम},Nom : {name},الاسم: {name}
unit.details.faction,Faction: {faction},Facción: {facción},派閥: {faction},阵营：{faction},गुट: {गुट},Faction : {faction},الفصيل: {faction}
unit.details.loyalty,Loyalty: {loyalty},Lealtad: {lealtad},忠誠心: {忠誠心},忠诚度：{忠诚度},वफादारी: {वफादारी},Loyauté : {loyauté},الولاء: {الولاء}
hud.label.round,Round: {num},Ronda: {num},ラウンド: {num},轮数：{num},राउंड: {num},Arrondi : {num},الجولة: {الرقم}
hud.label.turn,Turn: {name},Turno: {nombre},ターン: {名前},轮到你了：{name},बारी: {नाम},Tour : {nom},الدور: {الاسم}
hud.label.terrain_name,Type: {name},Tipo: {nombre},タイプ: {名前},类型：{name},नाम टाइप करें},Type : {nom},النوع: {الاسم}
hud.label.movement_penalty,Movement Penalty: {val},Penalización de movimiento: {val},移動ペナルティ: {val},移动惩罚：{val},मूवमेंट पेनल्टी: {val},Pénalité de mouvement : {val},عقوبة الحركة: {val}
hud.label.movement_bonus,Movement Bonus: {val},Bonificación de movimiento: {val},移動ボーナス: {val},移动加成：{val},मूवमेंट बोनस: {val},Bonus de mouvement : {val},مكافأة الحركة: {val}
hud.label.ends_turn,Blocks action after move,Bloquea la acción después del movimiento,移動後のブロックアクション,移动后阻止行动,चाल के बाद ब्लॉक की कार्रवाई,Bloque l'action après le déplacement,يمنع الحركة بعد النقل
hud.label.terrain_description,Description: {description},Descripción: {descripción},説明: {description},描述：{description},विवरण: {description},Description : {description},الوصف: {description}
settings.audio.music,Music,Música,音楽,音乐,संगीत,Musique,موسيقى
settings.display.landscape,Landscape,Paisaje,風景,景观,परिदृश्य,Paysage,منظر جمالي
settings.display.portrait,Portrait,Retrato,肖像画,肖像,चित्र,Portrait,لَوحَة
settings.speed.normal,Normal,Normal,普通,普通的,सामान्य,Normale,طبيعي
settings.speed.fast,Fast,Rápido,速い,快速地,तेज़,Rapide,سريع
settings.speed.skip,Skip,Saltar,スキップ,跳过,छोडना,Sauter,يتخطى
terrain.impassable,(Impassable),(Infranqueable),（通行不能）,（不可逾越）,(अगम्य),(Infranchissable),(غير سالك)
terrain.effect_label,Status Effect: {name},Efecto de estado: {nombre},状態効果: {name},状态效果：{name},स्थिति प्रभाव: {नाम},Effet de statut : {nom},تأثير الحالة: {الاسم}
terrain.stone,Stone,Piedra,石,石头,पत्थर,Pierre,حجر
terrain.cave_entrance,Cave Entrance,Entrada a la cueva,洞窟の入り口,洞穴入口,गुफा का प्रवेश द्वार,Entrée de la grotte,مدخل الكهف
terrain.waterfall,Waterfall,Cascada,滝,瀑布,झरना,Cascade,شلال
terrain.lava_flow,Lava Flow,Flujo de lava,溶岩流,熔岩流,लावा प्रवाह,Coulée de lave,تدفق الحمم البركانية
terrain.mountain_peak,Mountain Peak,Pico de la montaña,山頂,山峰,पर्वत शिखर,sommet de la montagne,قمة الجبل
terrain.desert_oasis,Desert Oasis,Oasis del desierto,砂漠のオアシス,沙漠绿洲,रेगिस्तानी नखलिस्तान,Oasis du désert,واحة صحراوية
terrain.monastery,Monastery,Monasterio,修道院,修道院,मठ,Monastère,دير
terrain.graveyard,Graveyard,Cementerio,墓地,墓地,कब्रिस्तान,Cimetière,مقبرة
terrain.floating_island,Floating Island,Isla flotante,浮島,浮岛,तैरता द्वीप,Île flottante,الجزيرة العائمة
terrain.rock_dune,Rock Dune,Duna rocosa,ロックデューン,岩石沙丘,चट्टानी टीला,Dune rocheuse,الكثبان الصخرية
terrain.ash,Ash,Ceniza,灰,灰,राख,Cendre,رماد
terrain.bridge_causeway,Bridge,Puente,橋,桥,पुल,Pont,كوبري
terrain.courtyard,Courtyard,Patio,中庭,庭院,आंगन,Cour,فناء
terrain.sand,Sand,Arena,砂,沙,रेत,Sable,رمل
terrain.enchanted_forest,Enchanted Forest,Bosque encantado,魔法の森,魔法森林,मंत्रमुग्ध वन,Forêt enchantée,الغابة المسحورة
terrain.fort,Fort,Fuerte,砦,堡,किला,Fort,حصن
terrain.grass,Grass,Césped,草,草,घास,Herbe,عشب
terrain.hill_high_ground,Hill,Colina,丘,爬坡道,पहाड़ी,Colline,تلة
terrain.ice,Ice,Hielo,氷,冰,बर्फ़,Glace,ثلج
terrain.jungle,Jungle,Selva,ジャングル,丛林,JUNGLE,Jungle,الغابة
terrain.keep,Keep,Mantener,保つ,保持,रखना,Garder,يحفظ
terrain.leaf_platform,Leaf Platform,Plataforma Leaf,リーフプラットフォーム,叶平台,पत्ती प्लेटफार्म,Plateforme Leaf,منصة ليف
terrain.mud,Mud,Lodo,泥,泥,कीचड़,Boue,الطين
terrain.ruins,Ruins,Restos,遺跡,废墟,खंडहर,Ruines,أطلال
terrain.oasis,Oasis,Oasis,オアシス,绿洲,शाद्वल,Oasis,واحة
terrain.path,Path,Camino,パス,小路,पथ,Chemin,طريق
terrain.quagmire,Quagmire,Cenagal,沼地,沼泽,दलदल,Bourbier,مستنقع
terrain.river,River,Río,川,河,नदी,Rivière,نهر
terrain.swamp,Swamp,Pantano,沼地,沼泽,दलदल,Marais,مستنقع
terrain.tree_village,Tree Village,Pueblo de árboles,ツリービレッジ,树村,वृक्ष गाँव,Village des arbres,قرية الأشجار
terrain.underground,Underground,Subterráneo,地下,地下,भूमिगत,Souterrain,مترو الأنفاق
terrain.vines,Vines,Viñas,ブドウの木,藤蔓,वाइंस,vignes,الكروم
terrain.wall,Wall,Muro,壁,墙,दीवार,Mur,حائط
terrain.crossroads,Crossroads,Encrucijada,交差点,十字路口,चौराहा,Carrefour,مفترق الطرق
terrain.crystal,Crystal,Cristal,結晶,水晶,क्रिस्टल,Cristal,كريستال
terrain.ash.description,"Fine volcanic ash, slowing movement.","Ceniza volcánica fina, que ralentiza el movimiento.",細かい火山灰が、動きを遅くしている。,细火山灰减缓了移动速度。,"बारीक ज्वालामुखी राख, जिससे गति धीमी हो जाती है।","Fines cendres volcaniques, ralentissant le mouvement.",رماد بركاني ناعم، يبطئ الحركة.
terrain.bridge_causeway.description,"A sturdy bridge or causeway, speeding movement.",Un puente o terraplén resistente que facilita el movimiento.,頑丈な橋や土手道で、移動を速める。,坚固的桥梁或堤道，加快了通行速度。,"एक मजबूत पुल या मार्ग, जो आवागमन को गति प्रदान करता है।","Un pont ou une chaussée robuste, accélérant le déplacement.",جسر أو ممر متين، يسرع الحركة.
terrain.cave_entrance.description,"The dark maw of a cave, leading to unknown depths.","La oscura boca de una cueva, que conduce a profundidades desconocidas.",未知の深淵へと続く、暗い洞窟の入り口。,通往未知深处的幽暗洞穴入口。,"एक गुफा का अंधेरा मुँह, जो अज्ञात गहराइयों की ओर ले जाता है।","Les entrailles obscures d'une grotte, menant à des profondeurs inconnues.",فم الكهف المظلم، المؤدي إلى أعماق مجهولة.
terrain.courtyard.description,"An open, paved area within a fortress or settlement.",Un área abierta y pavimentada dentro de una fortaleza o asentamiento.,要塞や集落内にある、舗装された開けた場所。,堡垒或定居点内的开阔铺砌区域。,"किसी किले या बस्ती के भीतर का खुला, पक्का क्षेत्र।",Une aire ouverte et pavée à l'intérieur d'une forteresse ou d'une agglomération.,منطقة مفتوحة ومُعبّدة داخل حصن أو مستوطنة.
terrain.crossroads.description,"Where paths converge, offering multiple directions.","Donde convergen los caminos, ofreciendo múltiples direcciones.",道が交わる場所、そこから複数の方向が生まれる。,路径在此交汇，通往多个方向。,"जहां रास्ते आपस में मिलते हैं, वहां कई दिशाएं मिलती हैं।","Là où les chemins convergent, offrant de multiples directions.",حيث تلتقي المسارات، مما يوفر اتجاهات متعددة.
terrain.crystal.description,"Shimmering crystals, providing an energized effect.",Cristales brillantes que proporcionan un efecto energizante.,きらめくクリスタルが、活力を与える効果をもたらします。,闪闪发光的晶体，带来活力四射的效果。,"चमकदार क्रिस्टल, जो ऊर्जावान प्रभाव प्रदान करते हैं।","Des cristaux scintillants, pour un effet énergisant.",بلورات متلألئة، توفر تأثيراً منشطاً.
terrain.desert_oasis.description,"A lush oasis in the desert, refreshing units.","Un oasis exuberante en el desierto, unidades refrescantes.",砂漠の中の緑豊かなオアシス、爽やかな客室。,沙漠中的葱郁绿洲，令人神清气爽的房间。,"रेगिस्तान में एक हरा-भरा नखलिस्तान, ताजगी से भरपूर आवास।","Une oasis luxuriante dans le désert, des unités rafraîchissantes.",واحة خضراء وارفة في الصحراء، ووحدات منعشة.
terrain.enchanted_forest.description,"A magical forest, mystifying those who enter.",Un bosque mágico que envuelve en misterio a quienes se adentran en él.,足を踏み入れた者を魅了する、魔法の森。,一片神奇的森林，令所有进入其中的人都感到神秘莫测。,"एक जादुई जंगल, जो प्रवेश करने वालों को रहस्यमय बना देता है।","Une forêt magique, qui intrigue ceux qui y pénètrent.",غابة سحرية، تحير كل من يدخلها.
terrain.floating_island.description,A landmass suspended in the air.,Una masa de tierra suspendida en el aire.,空中に浮かぶ陸塊。,悬浮在空中的陆地。,हवा में लटका हुआ एक भूभाग।,Une masse terrestre suspendue dans les airs.,كتلة أرضية معلقة في الهواء.
terrain.fort.description,"A defensive structure, providing fortification.",Una estructura defensiva que proporciona fortificación.,防御構造物であり、要塞としての役割を果たす。,一种防御工事，提供防御屏障。,"एक रक्षात्मक संरचना, जो किलेबंदी प्रदान करती है।","Une structure défensive, assurant la fortification.",هيكل دفاعي يوفر الحماية.
terrain.grass.description,Common grassy terrain.,Terreno cubierto de hierba común.,一般的な草地。,常见的草地地形。,सामान्य घास का मैदान।,Terrain herbeux commun.,أرض عشبية شائعة.
terrain.graveyard.description,"An eerie graveyard, inflicting a curse.",Un cementerio tenebroso que lanza una maldición.,不気味な墓地、呪いがかけられている。,阴森恐怖的墓地，仿佛笼罩着诅咒。,"एक भयानक कब्रिस्तान, जो अभिशाप फैलाता है।","Un cimetière sinistre, qui jette un sort.",مقبرة موحشة، تنشر اللعنة.
terrain.hill_high_ground.description,"Elevated terrain, offering a height advantage.","Terreno elevado, que ofrece una ventaja de altura.",高台に位置し、高さによる有利な位置を確保できる。,地势较高，具有高度优势。,"ऊँचाई वाला भूभाग, जो ऊँचाई का लाभ प्रदान करता है।","Terrain surélevé, offrant un avantage de hauteur.",تضاريس مرتفعة، توفر ميزة الارتفاع.
terrain.ice.description,"Slippery ice, making movement treacherous.",El hielo resbaladizo dificulta enormemente el movimiento.,滑りやすい氷のため、移動が危険です。,冰面湿滑，行走危险。,"फिसलन भरी बर्फ, जिससे आवागमन खतरनाक हो गया है।","Glace glissante, rendant les déplacements périlleux.",الجليد الزلق يجعل الحركة محفوفة بالمخاطر.
terrain.jungle.description,"Dense jungle, slowing passage.","Selva densa, paso lento.",鬱蒼としたジャングルが、通行を遅らせる。,茂密的丛林，行进缓慢。,"घना जंगल, मार्ग को धीमा कर रहा है।","Jungle dense, progression ralentie.",غابة كثيفة، تبطئ المرور.
terrain.keep.description,"A fortified keep, providing a guarded status.",Una fortaleza fortificada que proporcionaba un estatus de vigilancia.,要塞化された砦であり、警備体制が整っていることを示す。,坚固的堡垒，象征着守卫森严的地位。,"एक किलेबंद गढ़, जो सुरक्षा प्रदान करता है।","Un donjon fortifié, assurant un statut protégé.",حصن محصن، يوفر وضعاً محمياً.
terrain.lava_flow.description,"Molten rock, impassable and burning.","Roca fundida, intransitable y ardiente.",溶岩が流れ、通行不能で燃え盛っている。,熔岩，无法通行且炽热。,"पिघली हुई चट्टान, अगम्य और जलती हुई।","Roche en fusion, infranchissable et brûlante.",صخور منصهرة، لا يمكن عبورها ومشتعلة.
terrain.leaf_platform.description,A sturdy platform made of large leaves.,Una plataforma robusta hecha de hojas grandes.,大きな葉でできた頑丈な台。,用大树叶搭建的坚固平台。,बड़े पत्तों से बना एक मजबूत चबूतरा।,Une plateforme robuste faite de grandes feuilles.,منصة متينة مصنوعة من أوراق كبيرة.
terrain.monastery.description,"A peaceful monastery, offering sanctuary.",Un monasterio apacible que ofrece refugio.,静寂に包まれた修道院で、安息の地を提供している。,一座宁静的修道院，提供庇护之所。,"एक शांत मठ, जो आश्रय प्रदान करता है।","Un monastère paisible, offrant un refuge.",دير هادئ، يوفر ملاذاً آمناً.
terrain.mountain_peak.description,"The summit of a mountain, difficult to traverse but offers advantage.","La cima de una montaña, difícil de recorrer pero que ofrece ventajas.",山頂は、踏破するのは困難だが、利点もある。,山峰之巅，攀登难度大，但优势显著。,"पहाड़ की चोटी, जिस पर चढ़ना कठिन है लेकिन उससे लाभ भी मिलता है।","Le sommet d'une montagne, difficile à franchir mais offrant un avantage.",قمة جبل، يصعب اجتيازها ولكنها توفر ميزة.
terrain.mud.description,"Thick mud, slowing movement and blocking actions.",Barro espeso que ralentiza el movimiento y bloquea las acciones.,ぬかるんだ泥が動きを鈍らせ、行動を阻害する。,厚厚的泥浆，减缓移动速度，阻碍行动。,घनी कीचड़ के कारण आवागमन धीमा हो जाता है और कार्यों में बाधा उत्पन्न होती है।,"Boue épaisse, ralentissant les mouvements et bloquant les actions.",الطين الكثيف، الذي يبطئ الحركة ويعيق الإجراءات.
terrain.oasis.description,"A refreshing oasis, boosting morale.",Un oasis refrescante que levanta el ánimo.,気分を高揚させる、爽やかなオアシス。,令人神清气爽的绿洲，提振士气。,"एक ताजगी भरा नखलिस्तान, जो मनोबल बढ़ाता है।","Une oasis rafraîchissante, qui remonte le moral.",واحة منعشة، ترفع المعنويات.
terrain.path.description,"A well-trodden path, speeding movement.","Un camino muy transitado, que acelera el movimiento.",よく踏み固められた道、スピードアップした動き。,一条人迹罕至的小路，加快了行进速度。,"एक सुप्रसिद्ध मार्ग, जिससे आवागमन तेज हो जाता है।","Un chemin bien tracé, un mouvement accéléré.",مسارٌ ممهدٌ جيداً، يُسرّع الحركة.
terrain.plaza.description,An open public square.,Una plaza pública abierta.,開かれた公共広場。,一个开放的公共广场。,एक खुला सार्वजनिक चौक।,Une place publique ouverte.,ساحة عامة مفتوحة.
terrain.quagmire.description,"A treacherous quagmire, severely impeding movement.",Un lodazal traicionero que dificulta gravemente el movimiento.,危険な泥沼で、移動を著しく妨げる。,险恶的泥潭，严重阻碍通行。,"एक खतरनाक दलदल, जो आवागमन को बुरी तरह बाधित करता है।","Un bourbier traître, entravant considérablement les déplacements.",مستنقع غادر يعيق الحركة بشدة.
terrain.river.description,"A flowing river, impassable and making units wet.","Un río caudaloso, intransitable y que moja las unidades.",流れの速い川は、渡ることができず、ユニットを濡らしてしまう。,一条湍急的河流，无法通行，并将房屋浸湿。,"एक बहती नदी, जिसे पार करना असंभव है और जो इकाइयों को गीला कर देती है।","Une rivière au courant rapide, infranchissable et qui mouille les unités.",نهر جارٍ، لا يمكن عبوره، ويجعل الوحدات مبتلة.
terrain.ruins.description,"Ancient ruins, slowing movement.","Ruinas antiguas, movimiento lento.",古代遺跡、動きを緩める。,古老的遗迹，令人心旷神怡。,"प्राचीन खंडहर, गति को धीमा कर रहे हैं।","Ruines antiques, ralentissement du mouvement.",الآثار القديمة، تبطئ الحركة.
terrain.sand.description,"Soft desert sand, slowing movement.","Arena suave del desierto, movimiento lento.",柔らかい砂漠の砂が、動きを鈍らせる。,柔软的沙漠沙砾，减缓了移动速度。,"रेगिस्तान की नरम रेत, जिससे गति धीमी हो जाती है।","Sable doux du désert, ralentissant le mouvement.",رمال الصحراء الناعمة، تبطئ الحركة.
terrain.stone.description,Solid stone ground.,Suelo de piedra sólida.,堅固な石の地面。,坚实的石质地面。,ठोस पत्थर की जमीन।,Sol en pierre solide.,أرض حجرية صلبة.
terrain.swamp.description,"Murky swamp, bogging down units.",Un pantano turbio está atascando las unidades.,濁った沼地が部隊の進路を阻んでいる。,浑浊的沼泽，使车辆陷入泥潭。,"गंदा दलदल, इकाइयों को फंसा रहा है।","Marais trouble, embourbant les unités.",مستنقع موحل، يعيق عمل الوحدات.
terrain.tree_village.description,A village nestled among the trees.,Un pueblo enclavado entre los árboles.,木々に囲まれた村。,隐匿于树林间的村庄。,पेड़ों के बीच बसा एक गांव।,Un village niché au cœur des arbres.,قرية تقع بين الأشجار.
terrain.underground.description,Subterranean passages and caverns.,Pasajes subterráneos y cavernas.,地下通路と洞窟。,地下通道和洞穴。,भूमिगत मार्ग और गुफाएँ।,Passages et cavernes souterrains.,ممرات وكهوف تحت الأرض.
terrain.vines.description,"Thick vines, entangling units and blocking actions.","Enredaderas gruesas, unidades que se enredan y acciones que bloquean.",太い蔓が絡​​み合い、動きを阻害する。,茂密的藤蔓，缠绕着单位，阻碍行动。,"घनी लताएँ, उलझी हुई इकाइयाँ और कार्यों में बाधा उत्पन्न करना।","Vignes épaisses, unités enchevêtrées et actions de blocage.",كروم كثيفة، تعيق الوحدات وتمنع الإجراءات.
terrain.wall.description,"An impassable wall, blocking movement and actions.",Un muro infranqueable que bloquea el movimiento y las acciones.,通行不可能な壁、移動と行動を阻む壁。,一堵无法逾越的墙，阻挡了人员和行动。,"एक अभेद्य दीवार, जो आवागमन और गतिविधियों को अवरुद्ध करती है।","Un mur infranchissable, bloquant les mouvements et les actions.",جدار منيع، يعيق الحركة والتصرفات.
terrain.waterfall.description,"A cascading waterfall, impassable and making units wet.",Una cascada impenetrable que moja las unidades.,流れ落ちる滝は通行不能で、建物を濡らしてしまう。,倾泻而下的瀑布，无法通行，导致房屋被淹。,"एक तेज बहता हुआ झरना, जिसे पार करना असंभव है और जिससे वाहन भीग जाते हैं।","Une cascade impétueuse, infranchissable et qui mouille les logements.",شلال متدفق، لا يمكن عبوره، مما يتسبب في تبلل الوحدات.
settings.audio.master,Master,Maestro,マスター,掌握,मालिक,Maître,يتقن
settings.audio.sfx,SFX,SFX,効果音,音效,एसएफएक्स,SFX,مؤثرات صوتية
settings.audio.mute,Mute,Silenciar,ミュート,沉默的,आवाज़ बंद करना,Muet,صامت
settings.display.orientation,Orientation,Orientación,オリエンテーション,方向,अभिविन्यास,Orientation,توجيه
settings.display.resolution,Resolution,Resolución,解決,解决,संकल्प,Résolution,دقة
settings.gameplay.animation_speed,Animation Speed,Velocidad de animación,アニメーション速度,动画速度,एनीमेशन गति,Vitesse d'animation,سرعة الرسوم المتحركة
settings.dialogue.auto_advance,Auto Advance,Avance automático,自動進角,自动提前,ऑटो एडवांस,Avance automatique,التقدم التلقائي
settings.dialogue.text_speed,Text Speed,Velocidad de texto,テキスト速度,文本速度,टेक्स्ट स्पीड,Vitesse de frappe du texte,سرعة الكتابة
settings.display.language,Language,Idioma,言語,语言,भाषा,Langue,لغة
settings.language.en,English,Inglés,英語,英语,अंग्रेज़ी,Anglais,إنجليزي
settings.language.es,Español,Español,スペイン語,西班牙语,Español,Espagnol,الإسبانية
settings.language.ja,日本語,日本語,日本語,日本语,ठीक है,日本語,日本語
menu.title.start,Start,Comenzar,始める,开始,शुरू,Commencer,يبدأ
menu.title.level_select,Level Select,Selección de nivel,レベル選択,关卡选择,स्तर चयन,Sélection du niveau,تحديد المستوى
menu.title.quit,Quit,Abandonar,やめる,辞职,छोड़ना,Quitter,يترك
menu.title.continue,Continue,Continuar,続く,继续,जारी रखना,Continuer,يكمل
menu.title.recovery,Recovery,Recuperación,回復,恢复,वसूली,Récupération,استعادة
menu.level_select.choose,Choose Your Next Level,Elige tu próximo nivel,次のレベルを選択しよう,选择你的下一级别,अपना अगला स्तर चुनें,Choisissez votre prochain niveau,اختر مستواك التالي
menu.level_select.return,Return to Title,Volver al título,タイトルに戻る,返回标题,शीर्षक पर वापस जाएँ,Retour au titre,العودة إلى العنوان
menu.level_select.select,Select Level,Seleccionar nivel,レベルを選択,选择级别,स्तर का चयन करें,Sélectionner le niveau,حدد المستوى
menu.level_select.back,Back,Atrás,戻る,后退,पीछे,Dos,خلف
menu.level_select.no_levels,No more incomplete levels available!,¡Ya no hay niveles incompletos disponibles!,未完了のレベルはもうありません！,所有未完成的关卡都已关闭！,अब कोई भी अधूरा स्तर उपलब्ध नहीं है!,Plus aucun niveau incomplet disponible !,لا توجد مستويات غير مكتملة متاحة بعد الآن!
menu.controls.title,Controls,Controles,コントロール,控制,नियंत्रण,Commandes,أدوات التحكم
menu.inventory.title,Inventory,Inventario,在庫,存货,भंडार,Inventaire,جرد
menu.controls.movement,Movement,Movimiento,動き,移动,आंदोलन,Mouvement,حركة
menu.controls.interaction,Interaction,Interacción,交流,相互作用,इंटरैक्शन,Interaction,تفاعل
menu.controls.camera,Camera,Cámara,カメラ,相机,कैमरा,Caméra,آلة تصوير
menu.controls.selection,Selection,Selección,選択,选拔,चयन,Sélection,اختيار
menu.controls.pause,Pause,Pausa,一時停止,暂停,विराम,Pause,يوقف
menu.controls.unbound,Unbound,Sin límites,アンバウンド,无界,अबाध,Non lié,غير مجلد
menu.controls.reset,Reset Defaults,Restablecer valores predeterminados,デフォルト設定に戻す,重置默认设置,डिफ़ॉल्ट सेटिंग्स रीसेट करें,Réinitialiser les paramètres par défaut,إعادة ضبط الإعدادات الافتراضية
menu.pause.resume,Resume,Reanudar,再開する,恢复,फिर शुरू करना,CV,سيرة ذاتية
menu.pause.journal,Journal,Diario,ジャーナル,杂志,पत्रिका,Journal,مجلة
menu.pause.settings,Settings,Ajustes,設定,设置,सेटिंग्स,Paramètres,إعدادات
menu.pause.quit,Quit,Abandonar,やめる,辞职,छोड़ना,Quitter,يترك
attr.grit,Grit,Arena,グリット,砂砾,धैर्य,Grincer,حصى
attr.flow,Flow,Fluir,流れ,流动,प्रवाह,Couler,تدفق
attr.gusto,Gusto,Entusiasmo,グスト,古斯托,उत्साह,Enthousiasme,ميل
attr.focus,Focus,Enfocar,集中,重点,केंद्र,Se concentrer,ركز
attr.shine,Shine,Brillar,輝く,闪耀,चमक,Briller,يشرق
attr.shade,Shade,Sombra,シェード,阴影,छाया,Ombre,الظل
attr.willpower,Willpower,Fuerza de voluntad,意志力,意志,संकलप शक्ति,volonté,قوة الإرادة
hud.unit_stats,{faction} WP: {current}/{max},{facción} WP: {actual}/{máx},{派閥} WP: {現在}/{最大},{faction} WP: {current}/{max},{गुट} WP: {वर्तमान}/{अधिकतम},{faction} WP : {actuel}/{max},{faction} WP: {current}/{max}
hud.movement_summary,Moves: {moves}/{max_moves} | Action: {action},Movimientos: {moves}/{max_moves} | Acción: {action},移動回数：{moves}/{max_moves} | アクション：{action},步数：{moves}/{max_moves} | 动作：{action},चालें: {चालें}/{अधिकतम_चालें} | क्रिया: {क्रिया},Déplacements : {moves}/{max_moves} | Action : {action},عدد الحركات: {moves}/{max_moves} | الحركة: {action}
hud.status_stuck,STUCK,ATASCADO,立ち往生,卡住,अटक गया,BLOQUÉ,عالق
hud.status_ok,OK,DE ACUERDO,わかりました,好的,ठीक है,D'ACCORD,نعم
hud.location_no_description,No description provided.,No se ha proporcionado ninguna descripción.,説明がありません。,未提供描述。,कोई विवरण नहीं दिया गया है।,Aucune description fournie.,لم يتم تقديم أي وصف.
hud.active_task_label,Task,Tarea,タスク,任务,काम,Tâche,مهمة
hud.active_unit_summary,Unit: {name},Unidad: {nombre},ユニット: {名前},单位：{name},इकाई: {नाम},Unité : {nom},الوحدة: {الاسم}
hud.objective_prefix,OBJECTIVE: {title},OBJETIVO: {título},目的：{title},目标：{title},उद्देश्य: {शीर्षक},OBJECTIF : {title},الهدف: {العنوان}
hud.hint_wait,End the current unit's turn,Finaliza el turno de la unidad actual.,現在のユニットのターンを終了する,结束当前单位的回合,वर्तमान इकाई की बारी समाप्त करें,Terminer le tour de l'unité actuelle,أنهِ دور الوحدة الحالية
hud.hint_undo,Undo the last action,Deshacer la última acción,最後の操作を取り消す,撤销上一步操作,पिछली कार्रवाई को पूर्ववत करें,Annuler la dernière action,التراجع عن الإجراء الأخير
hud.hint_move,Move the unit to a new position,Mueva la unidad a una nueva posición.,ユニットを新しい位置に移動,将设备移至新位置,यूनिट को नई जगह पर ले जाएं,Déplacez l'unité vers une nouvelle position,انقل الوحدة إلى موضع جديد
hud.hint_skill,Activate a unique unit skill,Activa una habilidad de unidad única,固有ユニットスキルを発動する,激活独特的单位技能,एक अद्वितीय इकाई कौशल को सक्रिय करें,Activer une compétence d'unité unique,تفعيل مهارة وحدة فريدة
hud.hint_aid,Encourage an ally to grant them a combat bonus.,Anima a un aliado a que le otorgue una bonificación de combate.,味方に戦闘ボーナスを与えるよう促す。,鼓励盟友给予他们战斗加成。,किसी सहयोगी को युद्ध में अतिरिक्त लाभ देने के लिए प्रोत्साहित करें।,Incitez un allié à leur accorder un bonus de combat.,شجع حليفًا على منحه مكافأة قتالية.
hud.action_aid,Encourage,Alentar,奨励する,鼓励,प्रोत्साहित करना,Encourager,يشجع
hud.hint_talk,Talk to another unit,Habla con otra unidad.,別の部署と話す,与其他单位交谈,किसी अन्य इकाई से बात करें,Parlez à une autre unité,تحدث إلى وحدة أخرى
hud.hint_loot,Pick up items at this location,Recoger artículos en esta ubicación,この場所で商品を受け取ってください,请在此地点领取物品,इस स्थान से सामान उठाएँ,Récupérez vos articles à cet endroit,استلم أغراضك من هذا الموقع
hud.hint_trapped,Carefully disarm and recover this item,Desactive y recupere este objeto con cuidado.,このアイテムを慎重に解除して回収してください。,小心解除并回收此物品,इस वस्तु को सावधानीपूर्वक निष्क्रिय करें और पुनः प्राप्त करें।,Désamorcez et récupérez cet objet avec précaution.,قم بتفكيك هذا العنصر واستعادته بعناية.
hud.action_hint_fight,Initiate combat with this unit,Inicia el combate con esta unidad.,このユニットで戦闘を開始する,使用该单位发起战斗,इस इकाई के साथ युद्ध की शुरुआत करें,Engagez le combat avec cette unité,ابدأ القتال مع هذه الوحدة
hud.label.attacker,Attacker:,Agresor:,アタッカー：,攻击者：,हमलावर:,Attaquant:,مهاجم:
hud.label.defender,Defender:,Defensor:,ディフェンダー：,防御者：,रक्षक:,Défenseur:,المدافع:
hud.label.forecast,Forecast:,Pronóstico:,予報：,预报：,पूर्वानुमान:,Prévision:,تنبؤ بالمناخ:
hud.label.terrain_effects,Effects: {effects},Efectos: {efectos},効果: {effects},效果：{effects},प्रभाव: {प्रभाव},Effets : {effets},التأثيرات: {effects}
hud.label.terrain_distance,Dist: {distance},Dist: {distancia},距離: {距離},距离：{距离},दूरी: {दूरी},Dist: {distance},المسافة: {distance}
hud.label.defense_bonus,Defense Bonus:,Bonificación de defensa:,防御ボーナス:,防御加成：,रक्षा बोनस:,Bonus de défense :,مكافأة الدفاع:
hud.label.loot_details,Loot Details,Detalles del botín,戦利品の詳細,战利品详情,लूट का विवरण,Détails du butin,تفاصيل الغنائم
hud.label.locations,Locations,Ubicaciones,場所,地点,स्थानों,Lieux,المواقع
hud.label.status,Status:,Estado:,状態：,地位：,स्थिति:,Statut:,حالة:
hud.label.unit_name,Unit Name,Nombre de la unidad,ユニット名,单元名称,इकाई का नाम,Nom de l'unité,اسم الوحدة
hud.label.sections,Sections,Secciones,セクション,章节,धारा,Sections,الأقسام
hud.label.topics,Topics,Temas,トピック,主题,विषय,Sujets,المواضيع
